geoID,geoArea,belowPovTotal,unemploymentOver16Perc,householdMedianIncome,over25HSDiplomaPerc,popUnder18Total,popUnder18Perc,popOver65Total,popOver65Perc,popWithDisTotal,popWithDisPerc,langEngLessThanWellPerc,mobileHomeTotal,kitchenAccessPerc,noVehicleTotal,noVehiclePerc,popCorrectionalTotal,popJuvDetTotal,popNursingHomeTotal,popCollegeHousingTotal
1400000US55001950100,"Census Tract 9501, Adams County, Wisconsin",248,5.5,55481,38,328,11.4,1275,1275,541,18.9,0,149,98.9,21,21,0,0,68,0
1400000US55001950201,"Census Tract 9502.01, Adams County, Wisconsin",172,11,41853,39.5,154,12.4,370,370,204,16.4,1.8,0,100,7,7,0,0,7,0
1400000US55001950202,"Census Tract 9502.02, Adams County, Wisconsin",436,9.1,38345,45.2,380,14.6,891,891,654,25.2,0.5,20,97.9,42,42,0,0,0,0
1400000US55001950400,"Census Tract 9504, Adams County, Wisconsin",896,10.5,35410,41.8,819,18.1,989,989,1155,26.3,1.7,196,96,196,196,1167,0,27,0
1400000US55001950501,"Census Tract 9505.01, Adams County, Wisconsin",312,9.7,33315,48.1,231,14.4,526,526,394,24.6,0.8,203,96.5,29,29,0,0,0,0
1400000US55001950502,"Census Tract 9505.02, Adams County, Wisconsin",436,5.7,41431,46.3,443,12.1,728,728,501,18.5,4.2,37,100,42,42,1500,0,0,0
1400000US55001950700,"Census Tract 9507, Adams County, Wisconsin",294,3.7,54143,41.5,608,17.1,840,840,669,18.8,1,15,100,42,42,0,0,0,0
1400000US55003940000,"Census Tract 9400, Ashland County, Wisconsin",429,11.1,48281,39.5,678,33.9,233,233,362,18.1,0.4,114,100,109,109,0,0,78,0
1400000US55003950300,"Census Tract 9503, Ashland County, Wisconsin",262,6.1,43571,25.2,399,14.8,450,450,464,17.2,0.5,176,100,98,98,0,0,0,0
1400000US55003950400,"Census Tract 9504, Ashland County, Wisconsin",295,3.6,40982,32.6,477,21.1,500,500,274,12.9,0.8,0,100,114,114,0,0,111,0
1400000US55003950500,"Census Tract 9505, Ashland County, Wisconsin",200,2.6,58869,34.7,651,29.8,367,367,279,12.8,0.1,17,96.9,25,25,0,0,281,0
1400000US55003950600,"Census Tract 9506, Ashland County, Wisconsin",154,5.4,37857,38.7,258,19.1,326,326,295,22.3,0,22,95.3,50,50,0,0,0,0
1400000US55003950700,"Census Tract 9507, Ashland County, Wisconsin",228,6,41685,47.9,364,18.1,498,498,351,17.4,0,0,98.1,42,42,0,6,102,0
1400000US55003950800,"Census Tract 9508, Ashland County, Wisconsin",593,6.9,39009,34.5,683,21.3,490,490,650,20.6,0.7,216,100,177,177,0,0,0,0
1400000US55003990000,"Census Tract 9900, Ashland County, Wisconsin",0,-,-,-,0,-,0,0,0,-,-,317,-,0,0,0,0,0,0
1400000US55005000100,"Census Tract 1, Barron County, Wisconsin",260,2.4,60773,34.2,687,17.4,943,943,396,10.1,0.2,0,100,26,26,104,0,0,0
1400000US55005000200,"Census Tract 2, Barron County, Wisconsin",532,3.8,47793,38,882,22,1001,1001,682,17.2,3.7,227,100,166,166,0,0,69,0
1400000US55005000300,"Census Tract 3, Barron County, Wisconsin",478,4.4,48451,39.8,841,21.7,850,850,577,14.9,0.6,123,98.3,74,74,0,0,0,71
1400000US55005000400,"Census Tract 4, Barron County, Wisconsin",661,1.4,44107,35.4,1487,27.8,752,752,720,14,5,124,100,116,116,0,0,0,0
1400000US55005000500,"Census Tract 5, Barron County, Wisconsin",590,2.9,45544,32.4,767,17.3,1023,1023,792,17.9,0.7,207,93.8,197,197,0,0,0,0
1400000US55005000600,"Census Tract 6, Barron County, Wisconsin",906,3,45342,38.8,1262,21.6,1299,1299,739,13,0.5,109,97.5,307,307,0,0,0,0
1400000US55005000800,"Census Tract 8, Barron County, Wisconsin",637,4.7,56875,34,1273,23.1,862,862,678,12.3,0.8,0,100,49,49,0,0,0,0
1400000US55005000900,"Census Tract 9, Barron County, Wisconsin",364,2.9,57909,44.9,1190,23.9,919,919,593,12.1,0.9,19,98.3,63,63,13,0,0,0
1400000US55005001001,"Census Tract 10.01, Barron County, Wisconsin",250,2.5,51719,38.9,421,24.4,336,336,204,11.8,0,18,85.1,38,38,0,0,0,0
