site_id,site_name,site_address,site_city,site_county,site_state,site_zip,site_latitude,site_longitude,site_setting,is_indirect,is_direct,is_pse
18649,Five Loaves Food Pantry,144 West Third Street,New Richmond,St. Croix,WI,54017,45.120074,-92.538678,"Food assistance sites, food banks, and food pantries",1,1,0
17458,Baldwin WIC,1960 8th Avenue,Baldwin,St. Croix,WI,54002,44.947918,-92.374017,WIC clinics,1,1,0
18652,Spring Valley WIC,S520 Church Avenue,Spring Valley,Pierce,WI,54767,44.84301,-92.231555,WIC clinics,1,1,0
81022,Heirloom Farm Stand,N4989 Hwy 58,Mauston,Juneau,WI,53948,43.805109,-90.070132,Farmers markets,1,0,0
17345,St. Paul's Lutheran Church,321 N Park Ave,Medford,Taylor,WI,54451,45.13987071,-90.35108772,Faith-based centers/places of worship,1,0,0
18536,New Richmond WIC,1752 Dorset Lane,New Richmond,St. Croix,WI,54017,45.099596,-92.535057,WIC clinics,1,1,0
18535,River Falls WIC,1234 Wasson Lane,River Falls,Pierce,WI,54022,44.844974,-92.608427,WIC clinics,1,1,0
18750,Spring Valley Food Pantry,S520 Church Avenue,Spring Valley,Pierce,WI,54767,44.84301,-92.231555,WIC clinics,1,0,0
18404,Ellsworth WIC,412 Kinne Street,Ellsworth,Pierce,WI,54011,44.733431,-92.484949,WIC clinics,1,1,0
46000,ICAA Head Start-Dorchester,"134 N. 4th St. Dorchester, WI 54425",Ladysmith,Rusk,WI,54848,45.464322,-91.104895,Community organizations,1,0,0
17344,Indianhead Community Action Agency - Head Start,614 E. College Street,Medford,Taylor,WI,54451,45.12985603,-90.33977621,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,1,0
78851,Family Pathways Food Pantry - Frederic,1100 Wisconsin Ave S,Frederic,Polk,WI,54837,45.643085,-92.468559,"Food assistance sites, food banks, and food pantries",1,1,0
17483,St. Vincent de Paul Society pantry,926 LaSalle St.,Racine,Racine,WI,53404,42.756718,-87.812275,"Food assistance sites, food banks, and food pantries",1,0,0
17944,Shalom Center Food Pantry,8043 Sheridan Rd,Kenosha,Kenosha,WI,53143,42.557182,-87.8239849,"Food assistance sites, food banks, and food pantries",1,0,0
81322,Glenwood City Community Center,217 W Oak St,Glenwood City,St. Croix,WI,54013,45.058604,-92.174407,Community and recreation centers,1,1,0
18656,Hudson WIC,1901 Vine Street,Hudson,St. Croix,WI,54017,44.978733,-92.732149,WIC clinics,1,1,0
70913,Deer Park Senior Site,121 Front Street,Deer Park,St. Croix,WI,54007,45.188234,-92.385806,,1,1,0
15106,Red Cliff Early Childhood Center,"88385 Pike Road, Hwy 13",Bayfield,Bayfield,WI,54814,46.851543,-90.791435,"Early care and education facilities (includes child care centers and day care homes as well as Head Start, preschool, and pre-kindergarten programs)",1,0,0
72539,Trempealeau County Food Pantry,W20410 State Road 121,Whitehall,Trempealeau,WI,54773,44.443778,-91.285758,,1,1,0
15008,Food Pantry of Waukesha County,1301 Sentry Drive,Waukesha,Waukesha,WI,53186,42.989739,-88.248898,"Food assistance sites, food banks, and food pantries",1,1,0
15051,Sussex Outreach Services,N64 W23760 Main Street,Sussex,Waukesha,WI,53089,43.134258,-88.22016,Family resource centers,1,1,0
86124,Waukesha Exposition Center,1000 Northview Rd,Waukesha,Waukesha,WI,53188,43.033077,-88.24213,"Other places people go to ""learn""",1,0,0
86125,Ingleside Hotel,2810 Golf Rd,Waukesha,Waukesha,WI,53188,43.048485,-88.275788,"Other places people go to ""learn""",1,0,0
15055,Workforce Development Center,892 Main Street,Pewaukee,Waukesha,WI,53072,43.069577,-88.254531,"Adult education, job training, temporary assistance for needy families (TANF), and veteran services sites",1,0,0
