goeID,geoArea,belowPovTotal,unemploymentOver16Perc,householdMedianIncome,over25HSDiplomaPerc,popUnder18Total,popUnder18Perc,popOver65Total,popOver65Perc,popWithDisTotal,popWithDisPerc,langEngLessThanWellPerc,mobileHomeTotal,kitchenAccessPerc,noVehicleTotal,noVehiclePerc,popCorrectionalTotal,popJuvDetTotal,popNursingHomeTotal,popCollegeHousingTotal
0500000US55001,"Adams County, Wisconsin",2794,7.4,43280,42.8,2963,14.8,5619,5619,4118,21.7,1.6,1493,97.5,379,379,47,2,280,0
0500000US55003,"Ashland County, Wisconsin",2161,5.9,43861,35.6,3510,22.3,2864,2864,2675,17.3,0.4,1556,99.5,615,615,35,0,159,0
0500000US55005,"Barron County, Wisconsin",5311,3.2,50903,37.1,9819,21.7,9476,9476,6376,14.3,1.4,4017,97.9,1129,1129,22,0,139,0
0500000US55007,"Bayfield County, Wisconsin",1712,4.7,52910,28.8,2629,17.5,3891,3891,2430,16.3,0.4,937,98.8,233,233,10,0,86,0
0500000US55009,"Brown County, Wisconsin",26047,3.5,59963,30.2,62619,24.1,36047,36047,27544,10.7,4.6,335,98.1,5725,5725,1134,0,122,0
0500000US55011,"Buffalo County, Wisconsin",1224,2.1,57134,41.5,2727,20.7,2788,2788,1484,11.3,1.2,1641,95.5,283,283,1096,0,193,0
0500000US55013,"Burnett County, Wisconsin",2050,5,49982,37.8,2731,17.9,4173,4173,2548,16.8,0.5,919,99.9,265,265,884,25,924,2349
0500000US55015,"Calumet County, Wisconsin",2826,2.2,72530,31.6,12266,24.6,6933,6933,4453,9,1.5,1550,95,659,659,22,0,118,0
0500000US55017,"Chippewa County, Wisconsin",6617,3.3,57288,36.3,14472,22.7,10768,10768,7793,12.7,0.9,856,97.5,1239,1239,8,0,599,61
0500000US55019,"Clark County, Wisconsin",4282,3,51872,41.6,10134,29.4,5587,5587,3941,11.6,8,428,94.9,1226,1226,105,3,141,5
0500000US55021,"Columbia County, Wisconsin",4522,3.4,65348,33.9,12467,21.9,9671,9671,6299,11.3,1.8,533,95.6,1193,1193,73,162,292,0
0500000US55023,"Crawford County, Wisconsin",1998,3.4,48853,40.2,3384,20.8,3532,3532,2362,15.2,0.9,1151,94.8,414,414,202,81,885,3487
0500000US55025,"Dane County, Wisconsin",61414,3.1,70541,17.9,110062,20.8,67689,67689,44431,8.5,4.3,1592,98.3,16088,16088,24,0,74,7
0500000US55027,"Dodge County, Wisconsin",7217,4.3,58870,41.7,18322,20.9,14626,14626,9598,11.5,1.4,2400,96.9,1761,1761,123,6,392,0
0500000US55029,"Door County, Wisconsin",2236,4,58287,31.1,4500,16.4,7690,7690,3777,13.9,1,305,95.3,490,490,254,22,857,121
0500000US55031,"Douglas County, Wisconsin",5285,4.2,52480,31.1,8725,20.1,7600,7600,6276,14.7,1,970,99.4,1382,1382,131,0,427,460
0500000US55033,"Dunn County, Wisconsin",5050,3.6,56268,34.1,8884,20,6688,6688,5550,12.6,1.8,3110,96.7,808,808,39,0,46,0
0500000US55035,"Eau Claire County, Wisconsin",14271,3.7,55711,25.3,21031,20.4,15201,15201,12850,12.6,2.8,1064,97.2,2546,2546,43,0,0,0
0500000US55037,"Florence County, Wisconsin",420,6.1,49128,39,696,16,1083,1083,877,20.5,0.1,1319,93.1,100,100,4405,275,5216,9814
0500000US55039,"Fond du Lac County, Wisconsin",8920,3.7,59373,36.6,22235,21.7,17808,17808,11398,11.3,1.9,1460,96.3,2580,2580,25,12,203,2396
0500000US55041,"Forest County, Wisconsin",1426,6.7,44313,38.6,1812,20.1,2029,2029,1514,17.2,0.6,838,98.9,189,189,57,0,194,0
0500000US55043,"Grant County, Wisconsin",7135,3.1,52958,36.4,10687,20.6,8591,8591,5546,10.9,1.6,605,98.4,1062,1062,267,0,253,22
0500000US55045,"Green County, Wisconsin",2768,2.2,62699,35.9,8317,22.6,6468,6468,4361,11.9,1.4,1201,97.8,616,616,496,5,858,1234
0500000US55047,"Green Lake County, Wisconsin",2049,2.8,53260,39.9,4260,22.7,4016,4016,2407,13,3.3,4542,96,571,571,214,0,417,1089
0500000US55049,"Iowa County, Wisconsin",1806,3.2,62785,35.1,5473,23.2,4088,4088,2867,12.2,1,1076,97.9,369,369,29,0,93,0
0500000US55051,"Iron County, Wisconsin",822,7.3,40801,33.8,805,14.1,1675,1675,988,17.6,0.5,1322,99.5,185,185,233,3,444,0
0500000US55053,"Jackson County, Wisconsin",2274,5,52984,40,4503,22,3712,3712,2600,13.4,2.2,918,98.2,520,520,71,33,308,0
0500000US55055,"Jefferson County, Wisconsin",7282,3.7,63676,33.8,18371,21.7,13470,13470,9308,11.1,2,1255,97.8,1239,1239,84,9,234,3009
0500000US55057,"Juneau County, Wisconsin",3561,3.7,51056,41.8,5333,20.2,5239,5239,4285,17.2,1,902,99.2,348,348,26,0,165,0
0500000US55059,"Kenosha County, Wisconsin",22308,6.8,60929,31,39717,23.6,22280,22280,20478,12.3,3.9,1117,99,4184,4184,3209,61,903,0
0500000US55061,"Kewaunee County, Wisconsin",1703,2.9,63118,40.8,4455,21.9,3929,3929,2454,12.1,1.2,892,92.8,394,394,22,0,95,100
0500000US55063,"La Crosse County, Wisconsin",14874,4,55479,25.4,23640,20.1,18109,18109,13345,11.5,3.2,891,98.2,2737,2737,501,27,872,1137
0500000US55065,"Lafayette County, Wisconsin",1782,2.2,59629,38.9,4138,24.7,2941,2941,1998,12,2.7,1232,98.9,347,347,27,0,106,0
0500000US55067,"Langlade County, Wisconsin",2643,7.2,46557,42.5,3718,19.4,4353,4353,3340,17.6,0.9,893,89,520,520,199,15,696,0
0500000US55069,"Lincoln County, Wisconsin",2474,3.9,56086,38.5,5283,19,5703,5703,3748,13.7,0.4,486,98.9,662,662,237,7,431,53
0500000US55071,"Manitowoc County, Wisconsin",8303,3,53489,38.5,16607,20.9,15309,15309,9509,12,2.2,1750,96.3,2090,2090,181,0,120,0
0500000US55073,"Marathon County, Wisconsin",12468,3.4,59543,34.5,31270,23.1,22508,22508,15265,11.4,3.1,1652,97.7,2723,2723,210,54,391,0
0500000US55075,"Marinette County, Wisconsin",5236,4.8,47497,42.9,7834,19.3,9156,9156,6840,17.1,1,1987,97.8,1017,1017,1448,31,781,516
0500000US55077,"Marquette County, Wisconsin",1702,5.2,49586,41.8,3019,19.9,3595,3595,2440,16.2,1.2,790,97.3,273,273,51,0,178,0
0500000US55078,"Menominee County, Wisconsin",1474,5.9,43872,43.4,1499,32.7,575,575,719,15.8,0.9,759,100,163,163,26,0,305,0
0500000US55079,"Milwaukee County, Wisconsin",185627,6.2,48742,28.2,231111,24.2,123013,123013,121326,12.8,6.6,1525,98.3,52231,52231,98,8,58,0
0500000US55081,"Monroe County, Wisconsin",5716,3.6,58178,37.3,11576,25.4,7337,7337,6359,14.2,2.7,1272,98.2,1306,1306,69,0,218,0
0500000US55083,"Oconto County, Wisconsin",3481,3.5,57105,43.3,7634,20.3,7326,7326,5201,13.9,1,1266,98.4,497,497,332,14,482,1589
0500000US55085,"Oneida County, Wisconsin",2981,2.9,54198,32.4,6094,17.2,8837,8837,4881,14,0.5,1065,99.1,568,568,15,0,147,0
0500000US55087,"Outagamie County, Wisconsin",15545,2.9,63536,32.3,44136,23.9,25661,25661,18919,10.3,2.6,1776,99.4,2939,2939,658,466,1500,1795
0500000US55089,"Ozaukee County, Wisconsin",4679,3,82807,20,19128,21.7,16411,16411,7317,8.3,1.5,1458,97.7,1242,1242,173,66,1229,0
0500000US55091,"Pepin County, Wisconsin",903,2.6,53140,39.7,1542,21.2,1543,1543,859,12,1.7,1135,100,181,181,1138,0,95,0
0500000US55093,"Pierce County, Wisconsin",3791,2.6,72111,32.6,8703,20.9,5692,5692,4388,10.6,1.6,1422,99,567,567,2888,22,1412,3195
0500000US55095,"Polk County, Wisconsin",4190,4.1,56932,37.7,9305,21.5,8427,8427,5905,13.8,0.8,1457,99.2,643,643,99,2,478,0
0500000US55097,"Portage County, Wisconsin",8427,3.7,57368,31.8,13819,19.6,10985,10985,7830,11.1,2.1,1210,96.5,1634,1634,39,0,135,0
0500000US55099,"Price County, Wisconsin",1566,2.2,46742,40.3,2339,17.3,3299,3299,2099,15.8,0.9,479,99.1,396,396,27,0,61,0
0500000US55101,"Racine County, Wisconsin",22913,4.8,59749,31.6,45901,23.5,30527,30527,24762,13,2.8,145,98.3,5381,5381,29,36,49,0
0500000US55103,"Richland County, Wisconsin",2377,2.7,51335,40.9,3855,22,3759,3759,2229,12.8,1.5,692,96.3,415,415,48,0,60,7
0500000US55105,"Rock County, Wisconsin",21507,5.6,55832,36.4,38146,23.6,25528,25528,22543,14,2.8,971,98,3777,3777,125,0,444,0
0500000US55107,"Rusk County, Wisconsin",1962,3.8,44302,41,2902,20.5,3283,3283,2503,17.8,0.9,1229,95.9,343,343,1808,46,1181,2796
0500000US55109,"St. Croix County, Wisconsin",3874,2.4,81124,25.9,22424,25.5,11411,11411,7486,8.6,1.2,2359,99.1,1003,1003,1328,0,77,0
0500000US55111,"Sauk County, Wisconsin",6520,3.2,56732,34.4,14578,22.9,11182,11182,7730,12.3,1.9,1797,96.5,1365,1365,34,22,183,369
0500000US55113,"Sawyer County, Wisconsin",2760,5.8,44555,34.5,3208,19.6,4054,4054,2425,15.1,0.9,669,100,457,457,4886,2,1007,0
